SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4
2021-2022,17,ILLINOIS,IL,River Ridge High School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321000002,1.7E+11,1705115,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,River Ridge Middle School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321001001,1.7E+11,1705116,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,River Ridge Elementary School,River Ridge CUSD 210,1,,IL-08-043-2100-26,1700001,IL-08-043-2100-26-0804321002003,1.7E+11,1705651,4141 IL Route 84 S,,,Hanover,IL,61041,9631,4141 IL Route 84 S,,,Hanover,IL,61041,9631
2021-2022,17,ILLINOIS,IL,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,1,,IL-11-012-004C-26,1700002,IL-11-012-004C-26-11012004C0001,1.7E+11,1705087,306 E Edgar Ave,,,Casey,IL,62420,1445,306 E Edgar Ave,,,Casey,IL,62420,1445
2021-2022,17,ILLINOIS,IL,Monroe Elem School,Casey-Westfield CUSD 4C,1,,IL-11-012-004C-26,1700002,IL-11-012-004C-26-11012004C2003,1.7E+11,1705089,301 E Monroe Ave,,,Casey,IL,62420,1768,301 E Monroe Ave,,,Casey,IL,62420,1768
2021-2022,17,ILLINOIS,IL,Blue Ridge High School,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001800001,1.7E+11,1705119,411 N John St,,,Farmer City,IL,61842,1159,411 N John St,,,Farmer City,IL,61842,1159
2021-2022,17,ILLINOIS,IL,Ruth M Schneider Elem School,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001802003,1.7E+11,1705121,309 N John St,,,Farmer City,IL,61842,1209,309 N John St,,,Farmer City,IL,61842,1209
2021-2022,17,ILLINOIS,IL,Blue Ridge Intermediate-Jr High Sch,Blue Ridge CUSD 18,1,,IL-17-020-0180-26,1700003,IL-17-020-0180-26-1702001802005,1.7E+11,1705123,PO Box 69,,,Mansfield,IL,61854,69,PO Box 69,,,Mansfield,IL,61854,69
2021-2022,17,ILLINOIS,IL,Norris City-Omaha Elem School,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700302002,1.7E+11,1703009,PO Box 399,,,Norris City,IL,62869,399,PO Box 399,,,Norris City,IL,62869,399
2021-2022,17,ILLINOIS,IL,Norris City-Omaha-Enfield H S,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700300001,1.7E+11,1703010,PO Box 399,,,Norris City,IL,62869,399,PO Box 399,,,Norris City,IL,62869,399
2021-2022,17,ILLINOIS,IL,Booth Elementary School,Norris City-Omaha-Enfield CUSD 3,1,,IL-20-097-0030-26,1700004,IL-20-097-0030-26-2009700302003,1.7E+11,1705125,PO Box 39,,,Enfield,IL,62835,39,PO Box 39,,,Enfield,IL,62835,39
2021-2022,17,ILLINOIS,IL,Prairie Central Upper Elementary,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300802007,1.70001E+11,1702056,PO Box 496,,,Forrest,IL,61741,496,PO Box 496,,,Forrest,IL,61741,496
2021-2022,17,ILLINOIS,IL,Prairie Central High School,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300800001,1.70001E+11,1705126,411 N 7th St,,,Fairbury,IL,61739,1340,411 N 7th St,,,Fairbury,IL,61739,1340
2021-2022,17,ILLINOIS,IL,Prairie Central Jr High School,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300801001,1.70001E+11,1705127,800 N Wood St,,,Forrest,IL,61741,,800 N Wood St,,,Forrest,IL,61741,
2021-2022,17,ILLINOIS,IL,Prairie Central Elem School,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300802005,1.70001E+11,1705129,600 S 1st St,,,Fairbury,IL,61739,1558,600 S 1st St,,,Fairbury,IL,61739,1558
2021-2022,17,ILLINOIS,IL,Prairie Central Primary East,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300802006,1.70001E+11,1705130,PO Box 816,,,Chatsworth,IL,60921,816,PO Box 816,,,Chatsworth,IL,60921,816
2021-2022,17,ILLINOIS,IL,Prairie Central Primary West,Prairie Central CUSD 8,1,,IL-17-053-0080-26,1700005,IL-17-053-0080-26-1705300802001,1.70001E+11,1705190,700 S Division St,,,Chenoa,IL,61726,1368,700 S Division St,,,Chenoa,IL,61726,1368
2021-2022,17,ILLINOIS,IL,IYC Chicago,IDJJ Sch Dist 428,1,,IL-60-105-4280-30,1700006,IL-60-105-4280-30-6010542803050,1.70001E+11,1703793,136 N Western Ave,,,Chicago,IL,60612,2222,136 N Western Ave,,,Chicago,IL,60612,2222
2021-2022,17,ILLINOIS,IL,Illinois Youth Center-Warrenville,IDJJ Sch Dist 428,1,,IL-60-105-4280-30,1700006,IL-60-105-4280-30-6010542803019,1.70001E+11,1704460,30W200 Ferry Rd,,,Naperville,IL,60563,9683,30W200 Ferry Rd,,,Naperville,IL,60563,9683
2021-2022,17,ILLINOIS,IL,Illinois Youth Ctr - St Charles,IDJJ Sch Dist 428,1,,IL-60-105-4280-30,1700006,IL-60-105-4280-30-6010542803014,1.70001E+11,1704464,3825 Campton Hills Dr,,,Saint Charles,IL,60175,6062,3825 Campton Hills Dr,,,Saint Charles,IL,60175,6062
2021-2022,17,ILLINOIS,IL,Il Youth Center - Pere Marquette,IDJJ Sch Dist 428,1,,IL-60-105-4280-30,1700006,IL-60-105-4280-30-6010542803015,1.70001E+11,1704488,17808 State Highway 100 W,,,Grafton,IL,62037,2317,17808 State Highway 100 W,,,Grafton,IL,62037,2317
2021-2022,17,ILLINOIS,IL,School District 428 IYC-HRB,IDJJ Sch Dist 428,1,,IL-60-105-4280-30,1700006,IL-60-105-4280-30-6010542803028,1.70001E+11,1704902,1201 W Poplar St,,,Harrisburg,IL,62946,3711,1201 W Poplar St,,,Harrisburg,IL,62946,3711
2021-2022,17,ILLINOIS,IL,Eastland Elementary School,Eastland CUSD 308,1,,IL-08-008-3080-26,1700007,IL-08-008-3080-26-0800830802003,1.70001E+11,1703846,601 S Chestnut St,,,Shannon,IL,61078,9015,601 S Chestnut St,,,Shannon,IL,61078,9015
2021-2022,17,ILLINOIS,IL,Eastland Jr/Sr High School,Eastland CUSD 308,1,,IL-08-008-3080-26,1700007,IL-08-008-3080-26-0800830800001,1.70001E+11,1705083,500 S School Dr,,,Lanark,IL,61046,1352,500 S School Dr,,,Lanark,IL,61046,1352
2021-2022,17,ILLINOIS,IL,Pinckneyville Elem School,Pinckneyville SD 50,1,,IL-30-073-0500-02,1700009,IL-30-073-0500-02-3007305002001,1.70001E+11,1703322,301 W Mulberry St,Gregory Scott Wagner,,Pinckneyville,IL,62274,1370,301 W Mulberry St,Gregory Scott Wagner,,Pinckneyville,IL,62274,1370
2021-2022,17,ILLINOIS,IL,Pinckneyville Middle School,Pinckneyville SD 50,1,,IL-30-073-0500-02,1700009,IL-30-073-0500-02-3007305002002,1.70001E+11,1703323,700 E Water St,,,Pinckneyville,IL,62274,1471,700 E Water St,,,Pinckneyville,IL,62274,1471
2021-2022,17,ILLINOIS,IL,Kenneth Murphy School,Beach Park CCSD 3,1,,IL-34-049-0030-04,1700010,IL-34-049-0030-04-3404900302006,1.70001E+11,1700022,11315 W Wadsworth Rd,,,Beach Park,IL,60099,3359,11315 W Wadsworth Rd,,,Beach Park,IL,60099,3359
2021-2022,17,ILLINOIS,IL,Oak Crest School,Beach Park CCSD 3,1,,IL-34-049-0030-04,1700010,IL-34-049-0030-04-3404900302002,1.70001E+11,1700211,38550 N Lewis Ave,,,Beach Park,IL,60099,3308,38550 N Lewis Ave,,,Beach Park,IL,60099,3308
2021-2022,17,ILLINOIS,IL,Howe Elementary School,Beach Park CCSD 3,1,,IL-34-049-0030-04,1700010,IL-34-049-0030-04-3404900302004,1.70001E+11,1700212,10271 W Beach Rd,,,Beach Park,IL,60087,1773,10271 W Beach Rd,,,Beach Park,IL,60087,1773
2021-2022,17,ILLINOIS,IL,Beach Park Middle School,Beach Park CCSD 3,1,,IL-34-049-0030-04,1700010,IL-34-049-0030-04-3404900301006,1.70001E+11,1700213,40667 N Green Bay Rd,,,Beach Park,IL,60099,9550,40667 N Green Bay Rd,,,Beach Park,IL,60099,9550
2021-2022,17,ILLINOIS,IL,Newport Elem School,Beach Park CCSD 3,1,,IL-34-049-0030-04,1700010,IL-34-049-0030-04-3404900302005,1.70001E+11,1705141,15872 W 21st St,,,Wadsworth,IL,60083,8918,15872 W 21st St,,,Wadsworth,IL,60083,8918
2021-2022,17,ILLINOIS,IL,Goreville High School,Goreville CUD 1,1,,IL-21-044-0010-26,1700014,IL-21-044-0010-26-2104400100001,1.70001E+11,1705224,201 S Ferne Clyffe Rd,,,Goreville,IL,62939,2698,201 S Ferne Clyffe Rd,,,Goreville,IL,62939,2698
2021-2022,17,ILLINOIS,IL,Goreville Elementary School,Goreville CUD 1,1,,IL-21-044-0010-26,1700014,IL-21-044-0010-26-2104400102001,1.70001E+11,1705225,201 S Ferne Clyffe Rd,,,Goreville,IL,62939,2698,201 S Ferne Clyffe Rd,,,Goreville,IL,62939,2698
2021-2022,17,ILLINOIS,IL,Joppa Jr & Sr High School,Joppa-Maple Grove UD 38,1,,IL-21-061-0380-26,1700015,IL-21-061-0380-26-2106103800001,1.70002E+11,1705226,PO Box 10,,,Joppa,IL,62953,10,PO Box 10,,,Joppa,IL,62953,10
2021-2022,17,ILLINOIS,IL,Maple Grove Elem School,Joppa-Maple Grove UD 38,1,,IL-21-061-0380-26,1700015,IL-21-061-0380-26-2106103802001,1.70002E+11,1705227,1698 Grand Chain Rd,,,Metropolis,IL,62960,6211,1698 Grand Chain Rd,,,Metropolis,IL,62960,6211
2021-2022,17,ILLINOIS,IL,H E L P  Marshall,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106005,1.70002E+11,1700685,815 S 9th St,,,Marshall,IL,62441,1630,815 S 9th St,,,Marshall,IL,62441,1630
2021-2022,17,ILLINOIS,IL,Fresh Start Treatment & Learning,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106009,1.70002E+11,1701922,215 N 1st St,,,Effingham,IL,62401,3424,215 N 1st St,,,Effingham,IL,62401,3424
2021-2022,17,ILLINOIS,IL,Treatment & Learning Center-H,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106002,1.70002E+11,1704730,PO Box 97,,,Humboldt,IL,61931,97,PO Box 97,,,Humboldt,IL,61931,97
2021-2022,17,ILLINOIS,IL,LIFE Academy,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106001,1.70002E+11,1704731,2405 Champaign Ave,,,Mattoon,IL,61938,,2405 Champaign Ave,,,Mattoon,IL,61938,
2021-2022,17,ILLINOIS,IL,Treatment & Learning Center,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106003,1.70002E+11,1705042,PO Box 259,,,Kansas,IL,61933,259,PO Box 259,,,Kansas,IL,61933,259
2021-2022,17,ILLINOIS,IL,Adult LIFE Academy,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106010,1.70002E+11,1706578,1617 Lake Land Blvd,,,Mattoon,IL,61938,,1617 Lake Land Blvd,,,Mattoon,IL,61938,
2021-2022,17,ILLINOIS,IL,HELP Neoga,Eastern IL Area of Spec Educ,1,,IL-11-015-8010-60,1700023,IL-11-015-8010-60-1101580106011,1.70002E+11,1706758,641 W. 6th Street,,,Neoga,IL,62447,,641 W. 6th Street,,,Neoga,IL,62447,
2021-2022,17,ILLINOIS,IL,A E R O Educational Center,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606001,1.70002E+11,1704632,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,P R I D E School,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606002,1.70002E+11,1704633,4201 W 93rd St,,,Oak Lawn,IL,60453,1998,4201 W 93rd St,,,Oak Lawn,IL,60453,1998
2021-2022,17,ILLINOIS,IL,A.E.R.O-Connect Prog-Satellite,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606004,1.70002E+11,1706574,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,A.E.R.O-Functional Acad Learning-Satellite,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606005,1.70002E+11,1706575,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,A.E.R.O. EC Program-Satellite,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606003,1.70002E+11,1706580,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,A.E.R.O-STAR (Autism)-Satellite,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606006,1.70002E+11,1706581,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,A.E.R.O.-Comm. Develop.-Satellite,A E R O  Spec Educ Coop,1,,IL-07-016-8060-60,1700024,IL-07-016-8060-60-0701680606007,1.70002E+11,1706582,7600 Mason Ave,,,Burbank,IL,60459,1200,7600 Mason Ave,,,Burbank,IL,60459,1200
2021-2022,17,ILLINOIS,IL,Speed Program for Adaptive Learn,Speed SEJA #802,1,,IL-07-016-8020-60,1700029,IL-07-016-8020-60-0701680206004,1.70003E+11,1701305,1125 Division St,,,Chicago Heights,IL,60411,2419,1125 Division St,,,Chicago Heights,IL,60411,2419
2021-2022,17,ILLINOIS,IL,Speed Independence High School,Speed SEJA #802,1,,IL-07-016-8020-60,1700029,IL-07-016-8020-60-0701680206005,1.70003E+11,1701314,1125 Division St,,,Chicago Heights,IL,60411,2419,1125 Division St,,,Chicago Heights,IL,60411,2419
2021-2022,17,ILLINOIS,IL,Speed Independence Elem Sch,Speed SEJA #802,1,,IL-07-016-8020-60,1700029,IL-07-016-8020-60-0701680206006,1.70003E+11,1701323,1125 Division St,,,Chicago Heights,IL,60411,2419,1125 Division St,,,Chicago Heights,IL,60411,2419
2021-2022,17,ILLINOIS,IL,Speed Early Learning Center,Speed SEJA #802,1,,IL-07-016-8020-60,1700029,IL-07-016-8020-60-0701680206001,1.70003E+11,1704498,1125 Division St,,,Chicago Heights,IL,60411,2419,1125 Division St,,,Chicago Heights,IL,60411,2419
2021-2022,17,ILLINOIS,IL,Academy for Lifelong Learning (ALL),Speed SEJA #802,1,,IL-07-016-8020-60,1700029,IL-07-016-8020-60-0701680206009,1.70003E+11,1706337,410 Ashland Ave,,,Chicago Heights,IL,60411,1665,410 Ashland Ave,,,Chicago Heights,IL,60411,1665
2021-2022,17,ILLINOIS,IL,PAEC Education Center  EC,Proviso Area Exceptional Child,1,,IL-06-016-8030-60,1700030,IL-06-016-8030-60-0601680306010,1.70003E+11,1701966,1636 S 10th Ave,,,Maywood,IL,60153,1978,1636 S 10th Ave,,,Maywood,IL,60153,1978
2021-2022,17,ILLINOIS,IL,PAEC Alternative Elementary,Proviso Area Exceptional Child,1,,IL-06-016-8030-60,1700030,IL-06-016-8030-60-0601680306004,1.70003E+11,1704485,1636 S 10th Ave,,,Maywood,IL,60153,1978,1636 S 10th Ave,,,Maywood,IL,60153,1978
2021-2022,17,ILLINOIS,IL,PAEC Alternative High School,Proviso Area Exceptional Child,1,,IL-06-016-8030-60,1700030,IL-06-016-8030-60-0601680306009,1.70003E+11,1704486,1636 S 10th Ave,,,Maywood,IL,60153,1978,1636 S 10th Ave,,,Maywood,IL,60153,1978
2021-2022,17,ILLINOIS,IL,Proviso Area Except Child Center,Proviso Area Exceptional Child,1,,IL-06-016-8030-60,1700030,IL-06-016-8030-60-0601680306005,1.70003E+11,1704490,1000 Van Buren St,,,Maywood,IL,60153,1970,1000 Van Buren St,,,Maywood,IL,60153,1970
2021-2022,17,ILLINOIS,IL,PAEC Academy,Proviso Area Exceptional Child,1,,IL-06-016-8030-60,1700030,IL-06-016-8030-60-0601680306011,1.70003E+11,1706266,1640 Newcastle Ave,,,Westchester,IL,60154,4447,1640 Newcastle Ave,,,Westchester,IL,60154,4447
2021-2022,17,ILLINOIS,IL,North Shore Academy,Northern Suburban Spec Ed Dist,1,,IL-34-049-8040-60,1700031,IL-34-049-8040-60-3404980406001,1.70003E+11,1704501,760 Red Oak Ln,,,Highland Park,IL,60035,3816,760 Red Oak Ln,,,Highland Park,IL,60035,3816
2021-2022,17,ILLINOIS,IL,North Shore Academy Elem,Northern Suburban Spec Ed Dist,1,,IL-34-049-8040-60,1700031,IL-34-049-8040-60-3404980406003,1.70003E+11,1705831,255 Revere Dr,,,Northbrook,IL,60062,1564,255 Revere Dr,,,Northbrook,IL,60062,1564
2021-2022,17,ILLINOIS,IL,Ed & Life Skills Transition,Northern Suburban Spec Ed Dist,1,,IL-34-049-8040-60,1700031,IL-34-049-8040-60-3404980406005,1.70003E+11,1705832,1330 Shermer Rd,,,Northbrook,IL,60062,4539,1330 Shermer Rd,,,Northbrook,IL,60062,4539
2021-2022,17,ILLINOIS,IL,Arbor Academy,Northern Suburban Spec Ed Dist,1,,IL-34-049-8040-60,1700031,IL-34-049-8040-60-3404980406006,1.70003E+11,1705833,776 Red Oak Ln,,,Highland Park,IL,60035,3816,776 Red Oak Ln,,,Highland Park,IL,60035,3816
2021-2022,17,ILLINOIS,IL,Winnetka Covenant Church-Preschool,Northern Suburban Spec Ed Dist,1,,IL-34-049-8040-60,1700031,IL-34-049-8040-60-3404980406007,1.70003E+11,1706525,1200 Hibbard Rd,,,Wilmette,IL,60091,1155,1200 Hibbard Rd,,,Wilmette,IL,60091,1155
2021-2022,17,ILLINOIS,IL,Riley School-DHH Elem Prgrm,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506010,1.70003E+11,1701603,1209 E Burr Oak Dr,,,Arlington Heights,IL,60004,1660,1209 E Burr Oak Dr,,,Arlington Heights,IL,60004,1660
2021-2022,17,ILLINOIS,IL,Timber Ridge School,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506012,1.70003E+11,1703950,201 S Evanston Ave,,,Arlington Heights,IL,60004,6832,201 S Evanston Ave,,,Arlington Heights,IL,60004,6832
2021-2022,17,ILLINOIS,IL,Kirk School,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506002,1.70003E+11,1705094,520 S Plum Grove Rd,,,Palatine,IL,60067,6933,520 S Plum Grove Rd,,,Palatine,IL,60067,6933
2021-2022,17,ILLINOIS,IL,Miner School,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506004,1.70003E+11,1705095,1101 E Miner St,,,Arlington Heights,IL,60004,6337,1101 E Miner St,,,Arlington Heights,IL,60004,6337
2021-2022,17,ILLINOIS,IL,Terrace School-D/HH EC Program,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506013,1.70003E+11,1706204,735 S Westgate Rd,Terrace Sch-District 62,,Des Plaines,IL,60016,2951,735 S Westgate Rd,Terrace Sch-District 62,,Des Plaines,IL,60016,2951
2021-2022,17,ILLINOIS,IL,MacArthur MS-D/HH MS Program,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506014,1.70003E+11,1706216,700 N Schoenbeck Rd,,,Prospect Heights,IL,60070,1231,700 N Schoenbeck Rd,,,Prospect Heights,IL,60070,1231
2021-2022,17,ILLINOIS,IL,Hersey HS-D/HH HS Program,NW Suburban Spec Educ Org,1,,IL-05-016-8050-60,1700032,IL-05-016-8050-60-0501680506015,1.70003E+11,1706222,700 N Schoenbeck Rd,,,Prospect Hts,IL,60070,1231,700 N Schoenbeck Rd,,,Prospect Hts,IL,60070,1231
2021-2022,17,ILLINOIS,IL,Philip J Rock Center & School,Philip J Rock Center and School,1,,IL-19-000-0000-63,1700039,IL-19-000-0000-63-1900000006302,1.70004E+11,1705229,818 Du Page Blvd,,,Glen Ellyn,IL,60137,5810,818 Du Page Blvd,,,Glen Ellyn,IL,60137,5810
2021-2022,17,ILLINOIS,IL,GCMS High School,Gibson City-Melvin-Sibley CUSD 5,1,,IL-09-027-0050-26,1700041,IL-09-027-0050-26-0902700500001,1.70004E+11,1700254,815 N Church St,,,Gibson City,IL,60936,1074,815 N Church St,,,Gibson City,IL,60936,1074
2021-2022,17,ILLINOIS,IL,GCMS Middle School,Gibson City-Melvin-Sibley CUSD 5,1,,IL-09-027-0050-26,1700041,IL-09-027-0050-26-0902700501003,1.70004E+11,1700268,316 E 19th St,,,Gibson City,IL,60936,2008,316 E 19th St,,,Gibson City,IL,60936,2008
2021-2022,17,ILLINOIS,IL,GCMS Elementary School,Gibson City-Melvin-Sibley CUSD 5,1,,IL-09-027-0050-26,1700041,IL-09-027-0050-26-0902700502004,1.70004E+11,1700272,902 N Church St,,,Gibson City,IL,60936,1075,902 N Church St,,,Gibson City,IL,60936,1075
2021-2022,17,ILLINOIS,IL,Farmington Central High Sch,Farmington Central CUSD 265,1,,IL-48-072-2650-26,1700044,IL-48-072-2650-26-4807226500001,1.70004E+11,1705230,310 N Lightfoot Rd,,,Farmington,IL,61531,9649,310 N Lightfoot Rd,,,Farmington,IL,61531,9649
2021-2022,17,ILLINOIS,IL,Farmington Central Jr High Sch,Farmington Central CUSD 265,1,,IL-48-072-2650-26,1700044,IL-48-072-2650-26-4807226501001,1.70004E+11,1705737,300 N Lightfoot Rd,,,Farmington,IL,61531,9649,300 N Lightfoot Rd,,,Farmington,IL,61531,9649
2021-2022,17,ILLINOIS,IL,Farmington Central Elem Sch,Farmington Central CUSD 265,1,,IL-48-072-2650-26,1700044,IL-48-072-2650-26-4807226502002,1.70004E+11,1705738,108 N Lightfoot Rd,,,Farmington,IL,61531,9647,108 N Lightfoot Rd,,,Farmington,IL,61531,9647
2021-2022,17,ILLINOIS,IL,Gallatin High School,Gallatin CUSD 7,1,,IL-20-030-0070-26,1700045,IL-20-030-0070-26-2003000700001,1.70005E+11,1705236,5175 Highway 13,,,Junction,IL,62954,2101,5175 Highway 13,,,Junction,IL,62954,2101
2021-2022,17,ILLINOIS,IL,Gallatin Elementary School,Gallatin CUSD 7,1,,IL-20-030-0070-26,1700045,IL-20-030-0070-26-2003000702001,1.70005E+11,1705239,5175 Highway 13,,,Junction,IL,62954,2101,5175 Highway 13,,,Junction,IL,62954,2101
2021-2022,17,ILLINOIS,IL,Gallatin Junior High School,Gallatin CUSD 7,1,,IL-20-030-0070-26,1700045,IL-20-030-0070-26-2003000701001,1.70005E+11,1705560,5175 Highway 13,,,Junction,IL,62954,2101,5175 Highway 13,,,Junction,IL,62954,2101
2021-2022,17,ILLINOIS,IL,Oakland Education Center,Franklin-Jefferson Co Sp Ed Dist,1,,IL-13-041-8010-60,1700048,IL-13-041-8010-60-1304180106005,1.70005E+11,1705562,320 S 7Th St,,,Mount Vernon,IL,62864,4140,320 S 7Th St,,,Mount Vernon,IL,62864,4140
2021-2022,17,ILLINOIS,IL,Franklin-Jefferson SPED-Int-K-12,Franklin-Jefferson Co Sp Ed Dist,1,,IL-13-041-8010-60,1700048,IL-13-041-8010-60-1304180106007,1.70005E+11,1706577,1118 Fairfield Rd,,,Mount Vernon,IL,62864,5726,1118 Fairfield Rd,,,Mount Vernon,IL,62864,5726
2021-2022,17,ILLINOIS,IL,Franklin-Jefferson SPED Social Emotional Success (SES),Franklin-Jefferson Co Sp Ed Dist,1,,IL-13-041-8010-60,1700048,IL-13-041-8010-60-1304180106009,1.70005E+11,1706835,4989 State Highway 148,,,Mulkeytown,IL,62865,3296,4989 State Highway 148,,,Mulkeytown,IL,62865,3296
2021-2022,17,ILLINOIS,IL,Bryce Ash Grove Ed Ctr,Iroquois Special Education,1,,IL-32-038-8010-60,1700051,IL-32-038-8010-60-3203880106007,1.70005E+11,1705565,1101 N 1800 East Rd,,,Milford,IL,60953,6264,1101 N 1800 East Rd,,,Milford,IL,60953,6264
2021-2022,17,ILLINOIS,IL,Tri-County Ward,Tri-County Sp Ed Jnt Agreement,1,,IL-30-039-1860-61,1700052,IL-30-039-1860-61-3003918606107,1.70005E+11,1703643,120 E Spring St,,,Du Quoin,IL,62832,1762,120 E Spring St,,,Du Quoin,IL,62832,1762
2021-2022,17,ILLINOIS,IL,Tri-County South - Choate,Tri-County Sp Ed Jnt Agreement,1,,IL-30-039-1860-61,1700052,IL-30-039-1860-61-3003918606104,1.70005E+11,1704759,PO Box 379,,,Anna,IL,62906,379,PO Box 379,,,Anna,IL,62906,379
2021-2022,17,ILLINOIS,IL,Tri-County Center,Tri-County Sp Ed Jnt Agreement,1,,IL-30-039-1860-61,1700052,IL-30-039-1860-61-3003918606109,1.70005E+11,1705825,1725 Shomaker Dr,,,Murphysboro,IL,62966,2507,1725 Shomaker Dr,,,Murphysboro,IL,62966,2507
2021-2022,17,ILLINOIS,IL,Mades-Johnstone Center,Mid-Valley Special Ed Coop,1,,IL-31-045-3030-61,1700054,IL-31-045-3030-61-3104530306101,1.70005E+11,1704841,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450
2021-2022,17,ILLINOIS,IL,Mid-Valley Satellite Classes,Mid-Valley Special Ed Coop,1,,IL-31-045-3030-61,1700054,IL-31-045-3030-61-3104530306102,1.70005E+11,1706629,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450
2021-2022,17,ILLINOIS,IL,Mid-Valley Transition Program,Mid-Valley Special Ed Coop,1,,IL-31-045-3030-61,1700054,IL-31-045-3030-61-3104530306103,1.70005E+11,1706638,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450,1304 Ronzheimer Ave,,,St Charles,IL,60174,4450
2021-2022,17,ILLINOIS,IL,Kankakee Area Co-Op Day School,Kankakee Area Spec Educ Coop,1,,IL-32-046-8500-60,1700056,IL-32-046-8500-60-3204685006003,1.70006E+11,1705105,PO Box 71,,,Saint Anne,IL,60964,71,PO Box 71,,,Saint Anne,IL,60964,71
